#ies_format_version: 1.0
#file: 20250801_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec_in;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	iec_out;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec_in;	iec_out
20250801;	132025;	1754034625.000;	       err32;	       err32
20250801;	132030;	1754034630.000;	       err32;	       err32
20250801;	132035;	1754034635.000;	       err32;	       err32
20250801;	132040;	1754034640.000;	       err32;	       err32
20250801;	132045;	1754034645.000;	       err32;	       err32
20250801;	132050;	1754034650.000;	       err32;	       err32
20250801;	132055;	1754034655.000;	       err32;	       err32
20250801;	132100;	1754034660.000;	        err7;	        err7
20250801;	132105;	1754034665.000;	        err7;	        err7
20250801;	132110;	1754034670.000;	        err7;	        err7
20250801;	132115;	1754034675.000;	        err7;	        err7
20250801;	132120;	1754034680.000;	        err7;	        err7
20250801;	132125;	1754034685.000;	        err7;	        err7
20250801;	132130;	1754034690.000;	        err7;	        err7
20250801;	132135;	1754034695.000;	        err7;	        err7
20250801;	132140;	1754034700.000;	        err7;	        err7
20250801;	132145;	1754034705.000;	        err7;	        err7
20250801;	132150;	1754034710.000;	        err7;	        err7
20250801;	132155;	1754034715.000;	        err7;	        err7
20250801;	132200;	1754034720.000;	        err7;	        err7
20250801;	132205;	1754034725.000;	        err7;	        err7
20250801;	132210;	1754034730.000;	        err7;	        err7
20250801;	132215;	1754034735.000;	        err7;	        err7
20250801;	132220;	1754034740.000;	        err7;	        err7
20250801;	132225;	1754034745.000;	        err7;	        err7
20250801;	132230;	1754034750.000;	        err7;	        err7
20250801;	132235;	1754034755.000;	        err7;	        err7
20250801;	132240;	1754034760.000;	        err7;	        err7
20250801;	132245;	1754034765.000;	        err7;	        err7
20250801;	132250;	1754034770.000;	        err7;	        err7
20250801;	132255;	1754034775.000;	        err7;	        err7
20250801;	132300;	1754034780.000;	        err7;	        err7
20250801;	132305;	1754034785.000;	       err32;	       err32
20250801;	132310;	1754034790.000;	       err32;	       err32
20250801;	132315;	1754034795.000;	       err32;	       err32
20250801;	132320;	1754034800.000;	       err32;	       err32
20250801;	132325;	1754034805.000;	        err7;	        err7
20250801;	132330;	1754034810.000;	        err7;	        err7
20250801;	132335;	1754034815.000;	        err7;	        err7
20250801;	132340;	1754034820.000;	        err7;	        err7
20250801;	132345;	1754034825.000;	        err7;	        err7
20250801;	132350;	1754034830.000;	        err7;	        err7
20250801;	132355;	1754034835.000;	        err7;	        err7
20250801;	132400;	1754034840.000;	        err7;	        err7
20250801;	132405;	1754034845.000;	        err7;	        err7
20250801;	132410;	1754034850.000;	        err7;	        err7
20250801;	132415;	1754034855.000;	       err32;	       err32
20250801;	132420;	1754034860.000;	       err32;	       err32
20250801;	132425;	1754034865.000;	       err32;	       err32
20250801;	132430;	1754034870.000;	        err7;	        err7
20250801;	132435;	1754034875.000;	        err7;	        err7
20250801;	132440;	1754034880.000;	        err7;	        err7
20250801;	132445;	1754034885.000;	        err7;	        err7
